gasolinera_id,nombre,ubicacion,fecha,hora,clientes_min,clientes_max,vehiculos_min,vehiculos_max,litros_promedio_min,litros_promedio_max,desviacion_estandar_min,desviacion_estandar_max,capacidad_total,inventario_actual
1,Pemex Boulevard,"16.723885386501692,-93.11986596545925",2025-03-01,7:00,7,19,5,15,15,40,2,8,48821,30135
1,Pemex Boulevard,"16.723885386501692,-93.11986596545925",2025-03-01,8:00,6,16,4,12,15,40,2,8,48821,30135
1,Pemex Boulevard,"16.723885386501692,-93.11986596545925",2025-03-01,9:00,8,20,6,16,15,40,2,8,48821,30135
1,Pemex Boulevard,"16.723885386501692,-93.11986596545925",2025-03-01,10:00,3,8,2,6,15,40,2,8,48821,30135
1,Pemex Boulevard,"16.723885386501692,-93.11986596545925",2025-03-01,11:00,3,8,2,6,15,40,2,8,48821,30135
1,Pemex Boulevard,"16.723885386501692,-93.11986596545925",2025-03-01,12:00,2,5,1,4,15,40,2,8,48821,30135
1,Pemex Boulevard,"16.723885386501692,-93.11986596545925",2025-03-01,13:00,4,11,3,8,15,40,2,8,48821,30135
1,Pemex Boulevard,"16.723885386501692,-93.11986596545925",2025-03-01,14:00,4,10,3,8,15,40,2,8,48821,30135
1,Pemex Boulevard,"16.723885386501692,-93.11986596545925",2025-03-01,15:00,3,8,2,6,15,40,2,8,48821,30135
1,Pemex Boulevard,"16.723885386501692,-93.11986596545925",2025-03-01,16:00,3,8,2,6,15,40,2,8,48821,30135
1,Pemex Boulevard,"16.723885386501692,-93.11986596545925",2025-03-01,17:00,5,13,4,10,15,40,2,8,48821,30135
1,Pemex Boulevard,"16.723885386501692,-93.11986596545925",2025-03-01,18:00,6,17,4,13,15,40,2,8,48821,30135
1,Pemex Boulevard,"16.723885386501692,-93.11986596545925",2025-03-01,19:00,5,12,4,9,15,40,2,8,48821,30135
1,Pemex Boulevard,"16.723885386501692,-93.11986596545925",2025-03-02,7:00,6,16,4,12,15,40,2,8,48821,30135
1,Pemex Boulevard,"16.723885386501692,-93.11986596545925",2025-03-02,8:00,6,16,4,12,15,40,2,8,48821,30135
1,Pemex Boulevard,"16.723885386501692,-93.11986596545925",2025-03-02,9:00,7,17,5,13,15,40,2,8,48821,30135
1,Pemex Boulevard,"16.723885386501692,-93.11986596545925",2025-03-02,10:00,3,8,2,6,15,40,2,8,48821,30135
1,Pemex Boulevard,"16.723885386501692,-93.11986596545925",2025-03-02,11:00,3,8,2,6,15,40,2,8,48821,30135
1,Pemex Boulevard,"16.723885386501692,-93.11986596545925",2025-03-02,12:00,2,7,1,5,15,40,2,8,48821,30135
1,Pemex Boulevard,"16.723885386501692,-93.11986596545925",2025-03-02,13:00,2,7,1,5,15,40,2,8,48821,30135
1,Pemex Boulevard,"16.723885386501692,-93.11986596545925",2025-03-02,14:00,5,13,4,10,15,40,2,8,48821,30135
1,Pemex Boulevard,"16.723885386501692,-93.11986596545925",2025-03-02,15:00,2,6,1,4,15,40,2,8,48821,30135
1,Pemex Boulevard,"16.723885386501692,-93.11986596545925",2025-03-02,16:00,3,8,2,6,15,40,2,8,48821,30135
1,Pemex Boulevard,"16.723885386501692,-93.11986596545925",2025-03-02,17:00,7,18,5,14,15,40,2,8,48821,30135
1,Pemex Boulevard,"16.723885386501692,-93.11986596545925",2025-03-02,18:00,7,17,5,13,15,40,2,8,48821,30135
1,Pemex Boulevard,"16.723885386501692,-93.11986596545925",2025-03-02,19:00,6,15,4,12,15,40,2,8,48821,30135
1,Pemex Boulevard,"16.723885386501692,-93.11986596545925",2025-03-03,7:00,5,14,4,11,15,40,2,8,48821,30135
1,Pemex Boulevard,"16.723885386501692,-93.11986596545925",2025-03-03,8:00,6,17,4,13,15,40,2,8,48821,30135
1,Pemex Boulevard,"16.723885386501692,-93.11986596545925",2025-03-03,9:00,8,20,6,16,15,40,2,8,48821,30135
1,Pemex Boulevard,"16.723885386501692,-93.11986596545925",2025-03-03,10:00,3,7,2,5,15,40,2,8,48821,30135
1,Pemex Boulevard,"16.723885386501692,-93.11986596545925",2025-03-03,11:00,3,9,2,7,15,40,2,8,48821,30135
1,Pemex Boulevard,"16.723885386501692,-93.11986596545925",2025-03-03,12:00,3,8,2,6,15,40,2,8,48821,30135
